Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
Hypodermoclysis,Rare,0,100,both,Muscle twitching or cramps,Tingling or numbness in fingers,toes,or around the mouth,Muscle spasms,Tetany (prolonged muscle contractions),Difficulty breathing,,,,,,,,,,,,,,,,,,
Hypoestrogenism,Rare,20,50,female,Fluid administration under the skin,Swelling at infusion site,Discomfort or pain at infusion site,,,,,,,,,,,,,,,,,,,,,,
Hypoestrogenism Due To Bilateral Oophorectomy,Rare,0,100,female,Irregular menstrual periods or amenorrhea,Hot flashes,Night sweats,Vaginal dryness,Pain during intercourse,Decreased libido,,,,,,,,,,,,,,,,,,,
Hypofibrinogenemia,Rare,0,100,both,Irregular menstrual periods or amenorrhea,Hot flashes,Night sweats,Vaginal dryness,Pain during intercourse,Decreased libido,,,,,,,,,,,,,,,,,,,
Hypogammaglobulinemia Associated With Recurrent Bacterial Infection,Rare,0,100,both,Excessive bleeding,Nosebleeds,Excessive menstrual bleeding,Blood in urine or stool,Prolonged bleeding,Excessive bruising,,,,,,,,,,,,,,,,,,,
Hypoglycemic Disorder,Rare,0,100,both,Frequent or severe bacterial infections,Recurrent sinus or ear infections,Pneumonia,Bronchitis,Skin infections,Sepsis,,,,,,,,,,,,,,,,,,,
Hypogonadotropic Hypogonadism,Uncommon,0,100,both,Shakiness,Dizziness,Sweating,Hunger,Irritability,Anxiety,Confusion,Blurred vision,Weakness,,,,,,,,,,,,,,,,
Hypokalemia,Common,0,100,both,Muscle weakness or cramps,Fatigue,Constipation,Heart palpitations,Irregular heartbeat,Excessive urination,Nausea,,,,,,,,,,,,,,,,,,
Hypokalemia Prevention,Uncommon,0,100,both,"Ensuring adequate intake of potassium,rich foods such as bananas",oranges,potatoes,and spinach,Using potassium supplements as prescribed by a healthcare provider,Monitoring potassium levels regularly,,,,,,,,,,,,,,,,,,,
Hypomagnesemia,Common,0,100,both,Muscle spasms or cramps,Weakness,Fatigue,Nausea,Vomiting,Loss of appetite,Abnormal heart rhythms,,,,,,,,,,,,,,,,,,
Hyponatremia,Common,0,100,both,Nausea,Headache,Confusion,Fatigue,Muscle weakness or cramps,Seizures,Coma,,,,,,,,,,,,,,,,,,
Hypoparathyroidism,Uncommon,0,100,both,Muscle cramps or twitching,Tingling or numbness in the hands,feet,or around the mouth,Fatigue,Weakness,Depression,Dry skin,Hair loss,,,,,,,,,,,,,,,,
Hypophosphatemia,Rare,0,100,both,Muscle weakness or pain,Bone pain or weakness,Fatigue,Confusion,Nausea,Difficulty breathing,,,,,,,,,,,,,,,,,,,
Hypoplastic Anemia,Rare,0,100,both,Fatigue,Paleness,Weakness,Shortness of breath,Dizziness,Rapid heartbeat,Cold hands and feet,,,,,,,,,,,,,,,,,,
Hypoprothrombinemia,Rare,0,100,both,Excessive bleeding,Nosebleeds,Excessive menstrual bleeding,Blood in urine or stool,Prolonged bleeding,Excessive bruising,,,,,,,,,,,,,,,,,,,
Hypotension,Common,0,100,both,Dizziness or lightheadedness,Fainting,Blurred or fading vision,Nausea,Fatigue,Weakness,,,,,,,,,,,,,,,,,,,
Hypotension Due To Distributive Shock,Uncommon,0,100,both,Low blood pressure due to systemic vasodilation,Rapid heartbeat,Weak or absent pulse,Cold,clammy skin,Altered mental status,,,,,,,,,,,,,,,,,,,
Hypotension Secondary To Spinal Anesthesia,Rare,0,100,both,Low blood pressure resulting from the effects of spinal anesthesia,Dizziness,Lightheadedness,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,
Hypothyroidism,Common,0,100,both,Fatigue,Weight gain,Cold intolerance,Constipation,Dry skin,Hair loss,Depression,,,,,,,,,,,,,,,,,,
Hypotrichosis Of Eyelid Lashes,Rare,0,100,both,Sparse or absent eyelashes,Decreased number of eyelash follicles,Eyelash thinning or shortening,,,,,,,,,,,,,,,,,,,,,,
Hypovolemia,Common,0,100,both,Thirst,Weakness,Dizziness,Fatigue,Rapid heartbeat,Cold,clammy skin,,,,,,,,,,,,,,,,,,
Hypovolemic Shock,Common,0,100,both,Rapid heartbeat,Weak or absent pulse,Cold,clammy skin,Rapid,shallow breathing,Altered mental status,Dizziness,Lightheadedness,,,,,,,,,,,,,,,,
Ichthyosiform Erythroderma,Rare,0,100,both,Thickened,scaly skin,or dry skin,Scaling,Redness,Itching,Pain,Skin shedding,,,,,,,,,,,,,,,,,
Idiopathic Hypersomnia,Rare,0,100,both,sleepiness,Difficulty waking up in the morning,Difficulty concentrating,Memory problems,Irritability,Anxiety,Headache,,,,,,,,,,,,,,,,,,
Idiopathic Intracranial Hypertension,Rare,0,100,both,Headache,Blurred or double vision,Pulsatile tinnitus (hearing a rhythmic sound in the ears),Nausea,Vomiting,Neck pain or stiffness,,,,,,,,,,,,,,,,,,,
Idiopathic Neutropenia,Rare,0,100,both,Frequent or severe bacterial infections,Fever,Sore throat,Mouth sores,Abscesses,Pneumonia,,,,,,,,,,,,,,,,,,,
Idiopathic Parkinsonism,Rare,20,80,both,Tremor,Bradykinesia (slowness of movement),Rigidity,Postural instability,Gait disturbances,"Mask,like facial expression",Speech changes,,,,,,,,,,,,,,,,,,
Idiopathic Pulmonary Fibrosis,Common,40,80,both,Persistent dry cough,shortness of breath,fatigue,Weight loss,,,,,,,,,,,,,,,,,,,,,
Idiopathic Short Stature,Rare,0,18,both,Delayed growth,noticeably shorter stature than peers,proportional body features,,,,,,,,,,,,,,,,,,,,,,
Idiopathic Thrombocytopenic Purpura,Rare,0,100,both,Excessive bruising,purplish spots on the skin (purpura),bleeding gums,nosebleeds,,,,,,,,,,,,,,,,,,,,,
"Ige,Mediated Food Allergy",Rare,0,100,both,Rash,hives,itching,swelling (especially lips,tongue,throat),Abdominal Pain,nausea,vomiting,diarrhea,,,,,,,,,,,,,,,
Immunoglobulin Deficiency,Rare,0,100,both,Frequent infections,recurrent pneumonia,sinusitis,bronchitis,gastrointestinal infections,,,,,,,,,,,,,,,,,,,,
Immunosuppression Induction Therapy For Lung Transplantation,Rare,0,100,both,Increased susceptibility to infections,fever,fatigue,malaise,swelling or enlargement of lymph nodes,,,,,,,,,,,,,,,,,,,,
Immunosuppression Maintenance Therapy For Lung Transplantation,Rare,0,100,both,Increased susceptibility to infections,fatigue,malaise,weight loss,fever,Coughing,,,,,,,,,,,,,,,,,,,
Immunosuppression Therapy For Lung Transplant,Rare,0,100,both,Increased susceptibility to infections,fatigue,malaise,weight loss,fever,Coughing,,,,,,,,,,,,,,,,,,,
Impacted Cerumen,Common,0,100,both,Earache,ear fullness,decreased hearing,itching or drainage from the ear,,,,,,,,,,,,,,,,,,,,,
Impetigo,Common,0,100,both,Red sores,Diarrhea (which may contain blood or mucus),"honey,colored crusts",itching,pain,fever,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inappropriate Sinus Tachycardia,Rare,20,60,both,Rapid heart rate,palpitations,lightheadedness,dizziness,shortness of breath,chest discomfort,,,,,,,,,,,,,,,,,,,
Inclusion Body Myositis,Rare,40,80,both,Muscle weakness (especially in quadriceps,wrists,fingers),difficulty swallowing,muscle atrophy,fatigue,,,,,,,,,,,,,,,,,,,
Inclusion Conjunctivitis Caused By Chlamydia Trachomatis,Rare,0,100,both,Eye redness,irritation,discharge,swelling of the eyelids,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,,,
Incomplete Abortion,Rare,0,100,both,Vaginal bleeding or spotting,Abdominal pain,retained products of conception,,,,,,,,,,,,,,,,,,,,,,
Increased Bronchial Secretions,Uncommon,0,100,both,Coughing up mucus,chest congestion,wheezing,shortness of breath,,,,,,,,,,,,,,,,,,,,,
Increased Intraocular Pressure After Ocular Procedure,Rare,0,100,both,Eye pain,blurred vision,headache,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Increased Risk Of Atherosclerotic Cardiovascular Disease,Rare,30,70,both,Chest pain,shortness of breath,fatigue,weakness,dizziness,nausea,,,,,,,,,,,,,,,,,,,
Increased Urinary Frequency,Common,0,100,both,Frequent urination,urgency to urinate,nocturia (waking up at night to urinate),,,,,,,,,,,,,,,,,,,,,,
"Indolent B,Cell Non,Hodgkin Lymphoma",Rare,40,80,both,Painless swelling of lymph nodes (typically in the neck,armpits,or groin),fatigue,fever,weight loss,,,,,,,,,,,,,,,,,,,
Induce Anterograde Amnesia,Rare,0,100,both,Difficulty forming new memories,inability to remember events after a specific point in time,,,,,,,,,,,,,,,,,,,,,,,
Induction Of Intraoperative Hypotension,Rare,0,100,both,Decreased blood pressure during surgery,dizziness,lightheadedness,fainting,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infant Botulism,Rare,0,2,both,Weakness,poor feeding,constipation,lethargy,difficulty swallowing,respiratory distress,,,,,,,,,,,,,,,,,,,
Infantile Autism,Common,0,5,both,Impaired social interaction,delayed speech development,repetitive behaviors,sensitivity to sensory stimuli,,,,,,,,,,,,,,,,,,,,,
Infantile Hypophosphatasia,Rare,0,2,both,Weak bones prone to fractures,short stature,respiratory problems,premature tooth loss,,,,,,,,,,,,,,,,,,,,,
Infantile Malignant Osteopetrosis,Rare,0,2,both,Bone fractures,anemia,recurrent infections,vision or hearing loss,developmental delays,,,,,,,,,,,,,,,,,,,,
Infantile Metachromatic Leukodystrophy,Rare,0,2,both,Muscle weakness,loss of previously acquired developmental milestones,loss of motor skills,,,,,,,,,,,,,,,,,,,,,,
Infantile Spasms,Common,0,2,both,Sudden jerking movements of the body or limbs,developmental regression,poor feeding,irritability,,,,,,,,,,,,,,,,,,,,,
Infection,Common,0,100,both,Fever,fatigue,Coughing,sore throat,runny or stuffy nose,body aches,headache,,,,,,,,,,,,,,,,,,
Infection By Baylisascaris,Rare,0,100,both,Abdominal Pain,nausea,vomiting,fatigue,fever,neurological symptoms (if larvae migrate to the brain),,,,,,,,,,,,,,,,,,,
Infection By Cryptosporidium,Common,0,100,both,Watery diarrhea,Abdominal cramping,nausea,vomiting,fever,weight loss,,,,,,,,,,,,,,,,,,,
Infection By Moniliformis,Very rare,0,100,both,Abdominal Pain,vomiting,diarrhea,fever,muscle aches,weakness,,,,,,,,,,,,,,,,,,,
Infection By Yersinia Enterocolitica,Uncommon,0,100,both,Abdominal Pain,,fever,vomiting,joint pain,,,,,,,,,,,,,,,,,,,,
Infection Due To Penicillium Marneffei,Very rare,0,100,both,Fever,Coughing,chest pain,shortness of breath,skin lesions (in disseminated cases),,,,,,,,,,,,,,,,,,,,
Infection Of Burn Wound,Common,0,100,both,Redness,swelling,pain,heat around the burn site,drainage of pus,fever,Rapid heart rate,,,,,,,,,,,,,,,,,,
Infection Prevention For Gi Surgery,Uncommon,0,100,both,Surgical site infection,fever,wound drainage,increased pain or swelling at the incision site,,,,,,,,,,,,,,,,,,,,,
Infection Prevention From Tooth Extraction,Uncommon,0,100,both,Swelling,pain,redness,or pus around the extraction site,fever,malaise,,,,,,,,,,,,,,,,,,,
Infectious Disease Of Abdomen,Uncommon,0,100,both,Abdominal Pain,nausea,vomiting,diarrhea,fever,tenderness to touch,,,,,,,,,,,,,,,,,,,
Infectious Disorder Of Joint,Rare,0,100,both,Joint pain,swelling,redness,warmth,limited range of motion,fever,,,,,,,,,,,,,,,,,,,
Infertility Associated With Anovulation,Common,20,50,female,Irregular or absent menstrual periods,excess hair growth,acne,weight gain,difficulty getting pregnant,,,,,,,,,,,,,,,,,,,,
Infertility Secondary To Progesterone Deficiency,Uncommon,20,50,female,Irregular menstrual cycles,difficulty getting pregnant,recurrent miscarriages,low libido,,,,,,,,,,,,,,,,,,,,,
Inflammatory Bowel Disease,Common,20,80,both,Abdominal Pain,diarrhea,rectal bleeding,weight loss,fatigue,,,,,,,,,,,,,,,,,,,,
Inflammatory Disease Of Female Pelvic Organs,Uncommon,20,50,female,Pelvic pain,abnormal vaginal bleeding,painful intercourse,infertility,,,,,,,,,,,,,,,,,,,,,
Influenza,Common,0,100,both,Fever,Coughing,sore throat,runny or stuffy nose,body aches,fatigue,muscle aches,,,,,,,,,,,,,,,,,,
Influenza A (H1n1 Subtype) Vaccination,Common,0,100,both,Localized pain,redness,or swelling at the injection site,Fever,fatigue,,,,,,,,,,,,,,,,,,,,
Influenza Due To Influenza Virus Type A,Common,0,100,both,Fever,Coughing,sore throat,runny or stuffy nose,body aches,fatigue,muscle aches,,,,,,,,,,,,,,,,,,
Influenza Prevention,Uncommon,0,100,both,Hand hygiene,respiratory hygiene,avoiding close contact with sick individuals,annual influenza vaccination,,,,,,,,,,,,,,,,,,,,,
Influenza Vaccination,Common,0,100,both,Mild discomfort or redness at the injection site,Fever,fatigue,,,,,,,,,,,,,,,,,,,,,,
Inhaled Anthrax,Rare,0,100,both,Fever,Coughing,shortness of breath,chest discomfort,nausea,vomiting,Abdominal Pain,,,,,,,,,,,,,,,,,,
Insomnia,Common,0,100,both,Difficulty falling asleep,difficulty sleeping,waking up too early,daytime fatigue,,,,,,,,,,,,,,,,,,,,,
Insomnia Associated With Depression,Common,0,100,both,Persistent sad,anxious,or empty mood,loss of interest or pleasure in activities,changes in appetite,changes in weight,,,,,,,,,,,,,,,,,,,
Insulinoma,Rare,0,100,both,Episodes of hypoglycemia (low blood sugar),confusion,sweating,rapid heartbeat,hunger,,,,,,,,,,,,,,,,,,,,
Intermittent Claudication,Common,40,80,both,Leg pain or cramping during physical activity,relieved by rest,,,,,,,,,,,,,,,,,,,,,,,
Interstitial Cystitis,Common,0,100,both,Chronic pelvic pain,unusual urinary urgency and frequency,painful urination,discomfort during sexual intercourse,,,,,,,,,,,,,,,,,,,,,
Intertrigo,Common,0,100,both,Redness,itching,burning,Rash,groin,under breasts),,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Abscess",Uncommon,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Anaerobic Abscess",Rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Bacteroides Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Candida Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,signs of systemic infection,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Clostridium Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal E. Coli Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Eubacterium Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Klebsiella Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Peptococcus Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Abdominal Peptostreptococcus Abscess",Very rare,0,100,both,Abdominal Pain,tenderness,swelling,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,
"Intra,Operative Nausea And Vomiting",Uncommon,0,100,both,Nausea,vomiting during or shortly after surgery,dizziness,sweating,pallor,,,,,,,,,,,,,,,,,,,,
Intracranial Hypertension,Uncommon,0,100,both,Headache (often worse in the morning),visual disturbances (blurred or double vision),pulsatile tinnitus,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Intractable Eczema,Rare,0,100,both,Persistent itching,redness,dryness,flaking,and inflammation of the skin,,,,,,,,,,,,,,,,,,,,
Intractable Hiccups,Rare,0,100,both,Repeated,involuntary spasms of the diaphragm causing sudden,audible inhalations (hiccups),,,,,,,,,,,,,,,,,,,,,,
Intubation Of Gastrointestinal Tract,Very rare,0,100,both,Insertion of a tube into the stomach or intestines through the mouth or nose for feeding or drainage,,,,,,,,,,,,,,,,,,,,,,,,
Invasive Bladder Cancer,Uncommon,40,80,both,Blood in urine,urinary urgency,frequent urination,pelvic pain or discomfort,,,,,,,,,,,,,,,,,,,,,
Invasive Pulmonary Aspergillosis,Rare,0,100,both,Fever,Coughing,chest pain,shortness of breath,fatigue,weight loss,,,,,,,,,,,,,,,,,,,
Iodine Deficiency,Uncommon,0,100,both,Enlarged thyroid gland (goiter),fatigue,weight gain,cold intolerance,dry skin,,,,,,,,,,,,,,,,,,,,
Iridocyclitis,Uncommon,0,100,both,Eye pain,redness,Sensitivity to light (photophobia),blurred vision,headache,,,,,,,,,,,,,,,,,,,,
Iritis,Uncommon,0,100,both,Eye pain,redness,Sensitivity to light (photophobia),blurred vision,headache,,,,,,,,,,,,,,,,,,,,
Iron Deficiency Anemia,Common,0,100,both,Fatigue,weakness,Paleness,shortness of breath,dizziness,cold hands and feet,,,,,,,,,,,,,,,,,,,
Iron Toxicity,Rare,0,100,both,Nausea,vomiting,Abdominal Pain,diarrhea,lethargy,weakness,organ damage in severe cases,,,,,,,,,,,,,,,,,,
Irritable Bowel Syndrome,Common,20,60,both,Abdominal Pain,bloating,gas,Constipation,mucus in stool,Frequent bowel movements,,Diarrhea,,,,,,,,,,,,,,,,,
Isosporiasis,Rare,0,100,both,Poor feeding,vomiting,developmental delay,seizures,metabolic acidosis,,,,,,,,,,,,,,,,,,,,
Isovaleric Acidemia,Rare,0,100,both,Fever,headache,muscle pain,nausea,vomiting,weakness,,,,,,,,,,,,,,,,,,,
Japanese Encephalitis Vaccination,Uncommon,0,100,both,Joint pain,swelling,stiffness,limping,decreased range of motion,fever,,,,,,,,,,,,,,,,,,,
Juvenile Idiopathic Arthritis,Common,0,18,both,Progressive loss of motor skills,muscle weakness,developmental regression,seizures,,,,,,,,,,,,,,,,,,,,,
Juvenile Metachromatic Leukodystrophy,Very rare,0,18,both,Anemia,thrombocytopenia,enlarged liver,recurrent infections,poor weight gain,Enlarged spleen,,,,,,,,,,,,,,,,,,,
Juvenile Myelomonocytic Leukemia,Rare,0,18,both,Fatigue,weakness,fever,Paleness,easy bruising,enlarged liver,Easy bleeding,Enlarged spleen,,,,,,,,,,,,,,,,,
Kaposi's Sarcoma,Rare,20,80,both,Red or purple lesions on the skin,mouth,or internal organs,swelling,fever,weight loss,,,,,,,,,,,,,,,,,,,
Kaposi's Sarcoma Skin Lesion,Rare,20,80,both,Red or purple patches,plaques,Nodules,typically painless,,,,,,,,,,,,,,,,,,,,,
Kaposiform Hemangioendothelioma,Rare,0,100,both,Rapidly growing mass or lump,usually in the skin or soft tissue,bluish or purple color,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Disease,Uncommon,0,5,both,High fever persisting for at least 5 days,rash,redness or swelling of the hands or feet,watery or bloodshot eyes,swollen lymph nodes,,,,,,,,,,,,,,,,,,,,
Keloid,Common,0,100,both,Overgrowth of scar tissue at the site of a healed skin injury,ranging from pink to dark brown in color,may itch or cause discomfort,,,,,,,,,,,,,,,,,,,,,,
Keratitis,Common,0,100,both,Eye pain,redness,blurred vision,Sensitivity to light (photophobia),excessive tearing,,,,,,,,,,,,,,,,,,,,
Keratoconjunctivitis,Common,0,100,both,Redness,irritation,burning sensation,discharge from the eyes,blurred vision,,,,,,,,,,,,,,,,,,,,
Keratoconjunctivitis Sicca,Common,0,100,both,Dryness,itching,burning sensation in the eyes,blurred vision,discomfort with contact lenses,,,,,,,,,,,,,,,,,,,,
Keratoderma,Uncommon,0,100,both,Thickening of the skin on the palms and soles,calluses,cracking,pain,,,,,,,,,,,,,,,,,,,,,
Keratosis Follicularis,Rare,0,100,both,Small,rough bumps on the skin,typically on the upper arms,thighs,buttocks,or face,,,,,,,,,,,,,,,,,,,
Kidney Disease With Reduction In Glomerular Filtration Rate (Gfr),Common,0,100,both,Fatigue,swelling in the legs,decreased urine output,shortness of breath,nausea,confusion,,,,,,,,,,,,,,,,,,,
Kidney Transplant Rejection,Rare,0,100,both,Decreased urine output,swelling in the legs or feet,high blood pressure,fatigue,weight gain,,,,,,,,,,,,,,,,,,,,
Klebsiella Complicated Appendicitis,Uncommon,0,100,both,Abdominal Pain,particularly in the lower right side,nausea,vomiting,fever,,,,,,,,,,,,,,,,,,,,
Klebsiella Complicated Uti,Uncommon,0,100,both,Frequent urge to urinate,pain or burning sensation during urination,blood in urine,pelvic discomfort,,,,,,,,,,,,,,,,,,,,,
Klebsiella Cystitis,Common,0,100,both,Frequent urge to urinate,pain or burning sensation during urination,blood in urine,,,,,,,,,,,,,,,,,,,,,,
Klebsiella Endometritis,Rare,0,100,both,Pelvic pain,abnormal vaginal bleeding,fever,"foul,smelling vaginal discharge",,,,,,,,,,,,,,,,,,,,,
Klebsiella Infection,Uncommon,0,100,both,Fever,chills,Coughing,shortness of breath,chest pain,confusion,septic shock in severe cases,,,,,,,,,,,,,,,,,,
Klebsiella Joint Infection,Rare,0,100,both,Joint pain,swelling,warmth,redness,limited range of motion,fever,,,,,,,,,,,,,,,,,,,
Klebsiella Lung Abscess,Very rare,0,100,both,Coughing,chest pain,difficulty breathing,fever,chills,night sweats,,,,,,,,,,,,,,,,,,,
